Gene	C3N_01408	C3N_02088	C3N_03076	C3N_01489	C3N_02928	C3N_03057	C3N_00560	C3N_02150	C3N_00551	C3N_02089	C3N_03054	C3N_01028	C3N_01016	C3N_02153	C3N_00556	C3N_04127	C3N_00578	C3N_01023	C3N_00545	C3N_02421	C3N_00180	C3N_02425	C3N_00546	C3N_00580	C3N_02424	C3N_02572	C3N_00167	C3N_02155	C3N_00555	C3N_01415	C3N_00547	C3N_02090	C3N_01017	C3N_02142	C3N_01019	C3N_01410	C3N_00169	C3N_03073
BAD	9.23418225192173	8.83206553012799	8.46153611734845	8.96485795547179	8.6043882503049	8.50306036041005	8.72150600843745	9.01800123002388	9.67328850877872	8.48169450236517	8.52352691787965	8.56275819078108	8.48011130040308	9.18968864715638	8.7850432756418	8.84012832799112	8.88047023782524	8.97300244467359	9.12433538846988	9.38132429833292	8.76461862985422	9.12061233308493	9.14553856268211	9.48053255761916	8.80197784311432	8.97100217241999	9.24998301547	8.77793173260788	9.14885188652372	9.14160798476389	9.61538842194186	9.03962887793894	8.55936376777783	8.99830792196901	9.29836905562714	9.01272331002861	9.2778867953921	8.97139542832365
LAP3	12.2154561051793	12.2193372413686	11.9730473107903	12.4041687122065	12.4251521841081	12.769331784688	11.7662327528945	12.3450603741858	11.9595303673546	12.1298536291407	12.3375216546905	12.3202474344604	11.9655616567978	12.5769105678517	13.064273089076	12.2368805002036	11.83818482382	12.2043131954274	12.3221470021267	12.1625075996683	11.2252102148943	12.6103153578042	12.4358485186222	12.737497504937	13.2614212947576	12.0738412090169	11.8118423119389	11.9591459211514	11.9815267332407	12.5013191623396	12.4557315956518	12.4146159043101	11.4457571311697	12.8029466461915	12.8044544831388	11.6315022867809	11.9081451218486	12.5110522191142
CD99	11.5346298201578	12.4594178335455	11.9669404485555	11.8932594452682	11.6532865282616	11.59741486954	12.3241285451349	11.6267237336194	11.665033083854	12.3540361843723	11.8833669753482	11.6691702207692	12.2620521785525	12.2549923791513	12.3692520020002	12.1398643315759	12.6021496982411	11.5987115386536	12.2745933147548	11.7590871670421	10.9957543008078	12.4301287980352	10.8315287072593	10.7241526751195	12.2569810687982	11.8545409203841	12.0905586416606	11.7009400936663	11.455082846291	11.8330921618559	11.2767007761078	12.349410024675	12.097618936944	11.7892775190132	11.6191973829022	11.9767661380886	12.4459274094517	11.1036276023534
CD99	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762	6.43337965278762
HS3ST1	10.028370483003	10.4818829084562	9.54038141595031	9.50394939780032	10.5788220123434	9.81526495602286	8.91236457310671	8.9935703481955	9.56480250813439	7.96558613485086	9.76343962079022	10.0112389419859	10.1567847476436	9.92108288027648	9.68831279849869	9.95191749980843	10.2711914286143	10.0332304379195	8.84390476251441	9.18384424169168	10.8539075515256	9.51380367063712	9.85862390098271	8.6398776580414	8.62873160483623	11.2955191163176	9.39462801927466	11.40436261353	8.82004110060303	10.0283962975245	10.023855060505	10.3802072312574	9.17415251140712	9.39009137608461	9.10823634590483	9.94486581730754	10.2286936466556	9.01155180081338
AOC1	8.15400929143635	8.30076462130554	8.11349916182501	7.71215551157354	10.1948543985127	7.70212729571009	7.3807740587862	9.35723231506432	7.5536077569354	8.01318953319186	9.15134398826501	7.63426182080803	9.0398789232666	9.94356187677234	10.3294063208427	7.96188122176768	10.5649765458178	12.0325520353089	7.3533241461082	7.96738610922247	11.6248443988591	7.47448209723688	8.72155040717662	6.81071378633469	9.2449582003865	7.63261507786412	10.5851395488251	7.66726691171614	7.24181707684548	8.54847866834426	11.7367102122618	9.2368011275753	7.93774912102454	7.61655669748103	11.5865009016333	11.0237817409963	7.94222071043109	7.48118637274929
WNT16	7.05024142979826	7.26945550460793	8.29502904894477	7.62807546543013	7.38311709815982	7.47991729299796	7.00476016336716	7.17736773185256	7.12231662010177	7.08636369317019	7.23235437555193	7.3338782394363	7.61732309194554	7.52537012539088	7.18152912612345	7.31018395118947	7.31684521046303	7.14312363647293	7.13086821860911	7.22698514121645	7.40806075746191	7.54311099587104	7.50337404880813	7.16635709780081	7.67202511658695	7.3912972174289	7.16284120168157	6.83679252235146	7.32590588410357	7.36027696842898	7.19320031652333	7.36885258782191	7.11554417267885	7.63419086559551	7.11617519695626	7.32422870561085	7.08113481357131	7.26655977890291
HECW1	7.70474506919435	8.60125662804558	9.26495880423933	8.63859615074989	8.65875246271726	8.05345243483256	7.92755534449932	7.93538373468687	8.33192256661554	7.71737481738906	8.753689893392	7.83332992494263	7.97790985152256	7.8250608086153	9.61120407627289	7.97622256880901	8.94545535266198	7.72634217190949	8.02508323198452	9.89375435685261	8.58547048681211	7.66698579494292	8.35331499052659	8.04117952989562	8.82213008022682	9.26021971591727	9.35156678397274	7.65987384213227	7.75128806384209	8.72069088714037	9.04068451520967	8.53829302867222	9.35952472601905	8.11712327961637	8.0142365482787	8.05418668446221	8.41626523624846	8.8705521997944
MAD1L1	7.92687613894153	7.8796906805795	7.57096812429353	8.40025748691092	7.99346486685374	8.03361200813712	8.17295892191278	7.58705354757458	8.16220600760526	8.65961023026587	7.87786181352164	8.08277066579015	8.10381758669501	7.58057744927897	8.21031339439013	8.18444688880447	7.63093244566228	7.92294147276606	8.11223006599502	8.42727550380688	8.72685333009735	7.94616020198924	8.06286059146663	8.2875165789486	8.48192003697979	8.25504363414917	8.49473686782687	8.92638873597357	7.86021906206328	7.73847921324173	8.68525087501774	7.67047952336446	8.10812164323078	8.05370777198592	8.16358695336417	7.87013617729708	8.29555296962678	8.22515952812717
LASP1	12.913328515054	12.2753623106382	14.3329304019124	12.691212926803	12.5929410935	11.799841411611	11.9355393271172	11.9443227701444	13.0687031005071	12.3803677245963	12.3266918950576	12.3693381684696	12.3063390293837	12.2915956397152	12.5282419907236	12.1765871048848	12.7501445347524	12.2876374886296	12.5415402446622	12.8062856768679	12.5523540073358	12.4245591707484	12.3731986605623	12.5686472706104	13.0311174152891	12.3932679400276	13.3650081689251	12.5257482796111	12.4278269196575	12.8591448658867	12.3110695238173	11.8942048944075	12.2882762541315	13.1031135631218	12.6139637391061	11.7321533564774	12.8874054437495	12.3830878994619
SNX11	9.97413762756411	9.93180695943654	9.40231422680198	9.88712840344701	9.8381516987256	9.7196161504731	10.1246544556488	9.84466670385701	10.4071460491241	9.88035666415326	9.76868978168834	10.1246814897751	9.64865132365545	9.79838928158947	9.98750799911781	10.0302462923707	9.35608600493245	9.71388057946562	9.75778827977527	10.0222711760968	9.82572499022189	10.3386720001762	9.7815680729415	9.43091870204176	10.3404292056181	9.78905385315377	9.66943848020713	9.76049781961003	9.80143383692339	10.1155394493282	9.44703052874012	9.86399739031837	10.0844364085614	9.94935065187987	10.3377152137105	9.83920559895843	9.70445509346945	9.68314719858552
TMEM176A	9.72952799651722	10.0134796099597	10.4166298284288	10.5258376531039	10.2529213536124	9.59475403091194	9.44123107077274	11.7858265143599	9.88501805705206	10.620121279637	9.81169978816193	10.1392347079749	10.384365728757	11.053546802085	10.7745025120248	10.8069530252769	11.6079430461938	12.5030425042174	10.3603569780443	9.55635857549072	9.4916347055056	9.19014480587126	9.79888370712297	9.31009829260644	10.8736885120049	9.81324741910908	9.26309489215508	10.6651743319311	9.2458915442397	10.2612058609619	10.9037855893878	9.85341124401932	8.80429226538098	10.0014612357316	10.3730337979849	11.0614754138183	9.84467790233977	8.88733443842689
M6PR	12.4030521382064	12.1907356242347	11.8438546246573	11.796507834432	11.477019577073	11.5304807675657	11.6507305807749	12.0939464186878	12.6116115758031	12.2280896794669	11.6899353357102	11.5579689925934	11.5567343297334	11.9864573294511	11.6319309460059	12.4873987848592	12.1201711138484	11.7340823365444	11.8911813463182	11.2112255343385	11.4207878509011	12.5323313037601	11.819651252168	11.7618240496341	11.8894155909463	11.1974311700771	11.1914897407595	11.6499048276058	11.9266121933821	11.9625723619702	11.4586441470086	11.9047765463246	11.9394300754595	11.6008075067303	11.1695518901837	11.4621337891249	11.3506235252284	11.1001485303315
KLHL13	8.16087371570888	9.10031697773222	8.18222860896918	7.83065307764029	7.5238102842617	9.14650132302739	10.4890772635223	7.36846685954824	7.30954160345126	8.64367302861396	9.04698323051395	9.87057666119644	8.52011745803708	7.51584207526443	7.90234824594595	9.10593416038943	7.25307975252481	7.61213790444351	7.95513179798637	8.00875105722275	7.76262773911566	11.4880481865002	8.55436010027077	8.95928214019932	7.25812288972348	9.27672339129793	8.08892395430725	10.0040010508367	9.04445198993937	8.40979142784433	7.92360083241504	8.86589557905479	10.6613286546613	7.78790376308613	7.13193973400896	10.7457829443299	7.80075635771291	7.12271708760897
