ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Label
ENSG00000204172.12|AGAP9|protein_coding	249.741118777846	-1.08383730405659	0.316654355188416	-3.42277719001111	0.000619848630302818	0.214157701769624	
ENSG00000007314.12|SCN4A|protein_coding	82.4046411069439	-2.48516897249839	0.727220526982741	-3.41735261903212	0.000632333205274151	0.214638295713057	
ENSG00000100302.7|RASD2|protein_coding	73.0778963131001	1.51841504488503	0.446161329558662	3.4032869822829	0.000665803077419095	0.218338270201774	
ENSG00000181904.9|C5orf24|protein_coding	1915.29916700823	-0.589509504922956	0.173089584277103	-3.4058057703761	0.000659690939712379	0.218338270201774	
ENSG00000180316.12|PNPLA1|protein_coding	18.0047554832293	1.90176435944634	0.559732404222777	3.39763134151052	0.000679719507501915	0.219186883852451	
ENSG00000124875.10|CXCL6|protein_coding	225.777951583924	2.69639146250891	0.799958993071447	3.37066210376122	0.000749877730364716	0.237846464378632	
ENSG00000016602.9|CLCA4|protein_coding	52.7075164193666	3.0997898745419	0.933448044433455	3.32079529549316	0.000897613469480808	0.238696168999355	
ENSG00000064651.14|SLC12A2|protein_coding	5610.17320841165	-1.03669917256813	0.310160513009629	-3.3424602071636	0.000830392605453929	0.238696168999355	
ENSG00000101349.17|PAK5|protein_coding	16.3782658118359	3.13011414129966	0.932785348773301	3.35566392141134	0.000791747197643862	0.238696168999355	
ENSG00000111962.8|UST|protein_coding	736.836940391537	1.40108607690342	0.420905682642579	3.32874117571175	0.000872394359288357	0.238696168999355	
ENSG00000158985.14|CDC42SE2|protein_coding	3726.85920362888	-0.561811248608615	0.168952527229257	-3.32526099385466	0.000883358011409846	0.238696168999355	
ENSG00000162670.11|BRINP3|protein_coding	43.632267459454	-1.99476300566867	0.598867090481468	-3.33089434596407	0.000865674521558868	0.238696168999355	
ENSG00000163040.15|CCDC74A|protein_coding	150.792245987422	0.90062728968325	0.269747073856491	3.33878427968563	0.000841458818931656	0.238696168999355	
ENSG00000169567.13|HINT1|protein_coding	4126.46917243678	-0.425896573526959	0.126599838293583	-3.36411625218123	0.000767891905399103	0.238696168999355	
ENSG00000174226.9|SNX31|protein_coding	76.5767824611453	2.57850599191173	0.7728875541493	3.33619810290494	0.000849326187660077	0.238696168999355	
ENSG00000180432.6|CYP8B1|protein_coding	76.0926847600126	-2.20393760790976	0.66386304785186	-3.3198678779325	0.000900600596286589	0.238696168999355	
ENSG00000182545.6|RNASE10|protein_coding	10.0728620530793	2.58396896811162	0.772333159793488	3.345666226221	0.000820851409046517	0.238696168999355	
ENSG00000196368.5|NUDT11|protein_coding	51.3208956483875	1.63761612021978	0.487707846789687	3.35778095636416	0.000785708492671352	0.238696168999355	
ENSG00000112818.10|MEP1A|protein_coding	273.241572823618	-2.0364622730603	0.616078667274599	-3.30552311130845	0.00094799285511684	0.239405499178702	
ENSG00000115008.6|IL1A|protein_coding	241.737957612657	1.83649749520998	0.555821504055055	3.3041137879906	0.000952771523504241	0.239405499178702	
ENSG00000136002.20|ARHGEF4|protein_coding	762.754191521642	1.72643809458903	0.520989237547874	3.31376921088584	0.000920474490615347	0.239405499178702	
ENSG00000197444.10|OGDHL|protein_coding	227.887297074942	2.59445865428858	0.784277768110906	3.30808644561973	0.000939358089211623	0.239405499178702	
ENSG00000179520.11|SLC17A8|protein_coding	49.6963245551814	-2.80678169002097	0.850849672458005	-3.2987985784992	0.000970995562395365	0.240856694118276	
ENSG00000183347.15|GBP6|protein_coding	1362.52166486562	2.7732211965363	0.842384614735702	3.29210807987797	0.000994393886434566	0.243538391325772	
ENSG00000105427.10|CNFN|protein_coding	158.202957133585	2.06880357406786	0.630476716328618	3.28133223715997	0.00103317965912771	0.249874500560037	
ENSG00000121552.4|CSTA|protein_coding	1260.10382378022	2.32458622277439	0.713290700742667	3.25896050565929	0.00111821233443267	0.251571770309342	
ENSG00000144648.16|ACKR2|protein_coding	299.826472726143	-1.97598360100081	0.603934617148927	-3.27185020512501	0.00106846169822062	0.251571770309342	
ENSG00000151322.19|NPAS3|protein_coding	378.705070246751	-2.28860142243393	0.701665723989139	-3.26166911705859	0.00110758343513471	0.251571770309342	
ENSG00000155868.8|MED7|protein_coding	440.144016276625	-0.4894509350928	0.150029746246925	-3.26235928098714	0.00110489012850701	0.251571770309342	
ENSG00000186260.17|MRTFB|protein_coding	5011.734860029	-0.543071802735956	0.166287580390905	-3.265859070529	0.0010913254759354	0.251571770309342	
ENSG00000261308.3|FIGNL2|protein_coding	49.738291198994	1.48853259442893	0.455560158487191	3.2674775585556	0.00108510468885	0.251571770309342	
ENSG00000156127.8|BATF|protein_coding	430.064715201724	-0.699121012739922	0.214969418711847	-3.25218822718709	0.0011452015571109	0.254682295712434	
ENSG00000113391.19|FAM172A|protein_coding	1427.2797644503	-0.495225193674966	0.152713269887706	-3.24284323188887	0.00118343308043827	0.260193900458177	
ENSG00000113719.16|ERGIC1|protein_coding	7681.17115207445	-0.669424584316085	0.20723092004859	-3.23033157483991	0.00123646730722057	0.268799656855097	
ENSG00000131737.5|KRT34|protein_coding	6.36318278658459	5.39329393422972	1.67737224843863	3.21532321716305	0.00130297722217079	0.274573842574888	
ENSG00000157445.15|CACNA2D3|protein_coding	192.698736332413	1.86607796019209	0.580059664592394	3.21704485607249	0.00129518347402066	0.274573842574888	
ENSG00000205835.9|GMNC|protein_coding	12.8393950943436	3.61874164504652	1.12566972222612	3.21474547426762	0.00130560231118925	0.274573842574888	
ENSG00000007171.18|NOS2|protein_coding	794.848900754299	2.59068091280665	0.816502919740936	3.17289852879967	0.001509252631964	0.278642503739669	
