GeneName	Module	kTotal	kWithin	kOut	kDiff
ENSG00000153930.12|ANKFN1|protein_coding	blue	509.134353989602	128.000892503482	381.13346148612	-253.132568982638
ENSG00000154096.14|THY1|protein_coding	paleturquoise	384.987181177661	23.8422122845909	361.14496889307	-337.302756608479
ENSG00000154099.18|DNAAF1|protein_coding	red	435.669003718971	93.4529512044011	342.21605251457	-248.763101310169
ENSG00000154133.15|ROBO4|protein_coding	plum1	358.778500743364	8.03593232566477	350.742568417699	-342.706636092034
ENSG00000154175.18|ABI3BP|protein_coding	salmon	489.125290366979	39.742150925369	449.38313944161	-409.640988516241
ENSG00000154262.13|ABCA6|protein_coding	salmon	496.14611267449	39.3212691900643	456.824843484426	-417.503574294361
ENSG00000155066.16|PROM2|protein_coding	darkolivegreen	347.144077189804	10.8200445396237	336.324032650181	-325.503988110557
ENSG00000156049.7|GNA14|protein_coding	grey60	455.623444245511	40.5141044604098	415.109339785101	-374.595235324691
ENSG00000156928.5|MALSU1|protein_coding	orangered4	348.458481034751	11.814546763444	336.643934271307	-324.829387507863
ENSG00000157765.13|SLC34A2|protein_coding	brown	460.605179167143	101.582377732457	359.022801434686	-257.440423702228
ENSG00000157856.12|DRC1|protein_coding	red	426.24637233213	91.9156502659938	334.330722066136	-242.415071800142
ENSG00000157954.15|WIPI2|protein_coding	orangered4	335.615241927886	12.0497837717843	323.565458156102	-311.515674384317
ENSG00000158604.15|TMED4|protein_coding	orangered4	336.309645409319	11.1463365376256	325.163308871694	-314.016972334068
ENSG00000159069.14|FBXW5|protein_coding	black	395.138429859501	80.7896812926699	314.348748566831	-233.559067274161
ENSG00000159625.15|DRC7|protein_coding	red	445.30129605949	92.0533497926239	353.247946266866	-261.194596474242
ENSG00000161203.13|AP2M1|protein_coding	skyblue	421.263929656935	21.7576080452535	399.506321611681	-377.748713566428
ENSG00000161217.12|PCYT1A|protein_coding	skyblue	392.508397743214	20.7588389381272	371.749558805087	-350.990719866959
ENSG00000162302.13|RPS6KA4|protein_coding	darkgrey	384.970898433851	20.2882750795503	364.682623354301	-344.39434827475
ENSG00000162373.13|BEND5|protein_coding	cyan	416.381391538088	49.8403479779882	366.541043560099	-316.700695582111
ENSG00000163075.13|CFAP221|protein_coding	blue	522.99359714522	126.557770789963	396.435826355257	-269.878055565293
ENSG00000163202.5|LCE3D|protein_coding	darkturquoise	441.575503482633	129.427859264247	312.147644218386	-182.719784954139
ENSG00000163207.7|IVL|protein_coding	darkolivegreen	384.65887552097	12.3128263587878	372.346049162182	-360.033222803394
ENSG00000163431.13|LMOD1|protein_coding	green	527.405466709502	94.0123827551987	433.393083954304	-339.380701199105
ENSG00000163462.18|TRIM46|protein_coding	grey60	412.775187311575	43.3003399384366	369.474847373139	-326.174507434702
ENSG00000163608.15|NEPRO|protein_coding	skyblue	366.283619941106	20.6735815578533	345.610038383252	-324.936456825399
ENSG00000163960.12|UBXN7|protein_coding	skyblue	394.505281809585	20.2228499322061	374.282431877379	-354.059581945173
ENSG00000163961.4|RNF168|protein_coding	skyblue	402.313448953964	22.9615732926084	379.351875661355	-356.390302368747
