GeneName	Module	kTotal	kWithin	kOut	kDiff
ENSG00000160957.14|RECQL4|protein_coding	turquoise	495.726753225627	269.058897481983	226.667855743644	42.3910417383394
ENSG00000101057.16|MYBL2|protein_coding	turquoise	483.675804443711	268.71693330905	214.958871134661	53.7580621743895
ENSG00000154920.15|EME1|protein_coding	turquoise	485.73157271336	268.565423988364	217.166148724995	51.3992752633693
ENSG00000160949.17|TONSL|protein_coding	turquoise	499.301806583041	268.535125979159	230.766680603881	37.7684453752781
ENSG00000121621.7|KIF18A|protein_coding	turquoise	465.98287918158	266.722365132225	199.260514049355	67.4618510828709
ENSG00000105202.9|FBL|protein_coding	turquoise	479.769220068766	266.100130550218	213.669089518548	52.4310410316692
ENSG00000101361.17|NOP56|protein_coding	turquoise	473.264089803929	265.656203650925	207.607886153004	58.0483174979206
ENSG00000184661.14|CDCA2|protein_coding	turquoise	491.313839366437	264.370656949387	226.94318241705	37.4274745323368
ENSG00000143476.18|DTL|protein_coding	turquoise	445.534163581467	264.085646261915	181.448517319552	82.6371289423622
ENSG00000115484.15|CCT4|protein_coding	turquoise	470.694859877356	263.575414532052	207.119445345304	56.4559691867474
ENSG00000183765.23|CHEK2|protein_coding	turquoise	487.657189811047	263.542425515178	224.114764295869	39.427661219309
ENSG00000124207.17|CSE1L|protein_coding	turquoise	454.228945933857	263.522041696361	190.706904237496	72.8151374588655
ENSG00000150753.12|CCT5|protein_coding	turquoise	475.482768226981	263.49820979455	211.984558432432	51.5136513621182
ENSG00000253729.8|PRKDC|protein_coding	turquoise	466.783561974977	262.586843455368	204.19671851961	58.3901249357579
ENSG00000103257.9|SLC7A5|protein_coding	turquoise	507.376907935228	262.316602819544	245.060305115684	17.2562977038606
ENSG00000186603.6|HPDL|protein_coding	turquoise	486.249141534912	262.194792589457	224.054348945456	38.1404436440008
ENSG00000119969.15|HELLS|protein_coding	turquoise	459.699203070855	261.665870486843	198.033332584012	63.6325379028306
ENSG00000107815.10|TWNK|protein_coding	turquoise	473.201575434455	261.495181215647	211.706394218807	49.78878699684
ENSG00000163918.11|RFC4|protein_coding	turquoise	464.500446981865	261.329863442096	203.170583539769	58.1592799023275
ENSG00000163507.14|CIP2A|protein_coding	turquoise	462.448251775396	261.207801489212	201.240450286184	59.9673512030277
ENSG00000111602.12|TIMELESS|protein_coding	turquoise	468.070317943678	261.143822304903	206.926495638774	54.2173266661293
ENSG00000160124.9|CCDC58|protein_coding	turquoise	459.851017008778	260.494857167366	199.356159841412	61.1386973259546
ENSG00000101447.15|FAM83D|protein_coding	turquoise	501.893648594835	260.422808649426	241.47083994541	18.9519687040158
ENSG00000147536.12|GINS4|protein_coding	turquoise	468.658472671741	260.409059316778	208.249413354962	52.1596459618161
ENSG00000277075.2|H2AC8|protein_coding	turquoise	493.192051084422	260.286341625267	232.905709459155	27.3806321661116
ENSG00000156876.10|SASS6|protein_coding	turquoise	437.106208438748	259.877554707039	177.228653731709	82.6489009753306
ENSG00000198826.11|ARHGAP11A|protein_coding	turquoise	457.890881176983	259.774785944166	198.116095232817	61.6586907113493
ENSG00000112984.12|KIF20A|protein_coding	turquoise	452.34318630649	259.554407268371	192.788779038119	66.7656282302511
ENSG00000171241.9|SHCBP1|protein_coding	turquoise	461.574063435474	257.883465902647	203.690597532827	54.1928683698207
ENSG00000109805.10|NCAPG|protein_coding	turquoise	449.208423183992	257.456451640479	191.751971543513	65.7044800969664
