GeneName	Reg	log2FoldChange
ENSG00000171560.16|FGA|protein_coding	Down	-1.51322755187233
ENSG00000164363.10|SLC6A18|protein_coding	Down	-1.5116842496007
ENSG00000167104.11|BPIFB6|protein_coding	Down	-1.50969107558273
ENSG00000181001.3|OR52N1|protein_coding	Down	-1.50631216811465
ENSG00000169862.19|CTNND2|protein_coding	Down	-1.50546354408612
ENSG00000169347.17|GP2|protein_coding	Down	-1.50545282714033
ENSG00000157131.11|C8A|protein_coding	Down	-1.49944416027717
ENSG00000188095.6|MESP2|protein_coding	Down	-1.49615710474259
ENSG00000176239.7|OR51B6|protein_coding	Down	-1.49397664753939
ENSG00000135226.18|UGT2B28|protein_coding	Down	-1.49301736464485
ENSG00000181790.11|ADGRB1|protein_coding	Down	-1.49043926552542
ENSG00000154007.7|ASB17|protein_coding	Down	-1.48824937857371
ENSG00000147642.17|SYBU|protein_coding	Down	-1.48600226543821
ENSG00000256797.1|KLRF2|protein_coding	Down	-1.47905319804612
ENSG00000271447.6|MMP28|protein_coding	Down	-1.47650539480603
ENSG00000131721.6|RHOXF2|protein_coding	Down	-1.47490914607945
ENSG00000154143.3|PANX3|protein_coding	Down	-1.47459031657153
ENSG00000105388.16|CEACAM5|protein_coding	Down	-1.47284123490317
ENSG00000167355.8|OR51B5|protein_coding	Down	-1.47044344555714
ENSG00000189023.10|MAGEB16|protein_coding	Down	-1.46734786124883
ENSG00000139219.19|COL2A1|protein_coding	Down	-1.46551269583455
ENSG00000187908.20|DMBT1|protein_coding	Down	-1.46507154641551
ENSG00000214967.5|NPIPA7|protein_coding	Down	-1.46181378589591
ENSG00000197721.17|CR1L|protein_coding	Down	-1.46121033757027
ENSG00000179213.13|SIGLECL1|protein_coding	Down	-1.45383401603389
ENSG00000106927.12|AMBP|protein_coding	Down	-1.45028378842588
ENSG00000204021.4|LIPK|protein_coding	Down	-1.44459967463415
ENSG00000270806.2|C17orf50|protein_coding	Down	-1.44329887617465
ENSG00000169154.7|GOT1L1|protein_coding	Down	-1.44287220286592
ENSG00000221986.7|MYBPHL|protein_coding	Down	-1.44257085404064
ENSG00000236637.4|IFNA4|protein_coding	Down	-1.43861890555114
ENSG00000112541.17|PDE10A|protein_coding	Down	-1.43537026930516
ENSG00000103310.11|ZP2|protein_coding	Down	-1.43469436654838
ENSG00000229674.2|H2AL1RP|protein_coding	Down	-1.43305204239969
ENSG00000197938.5|OR5H2|protein_coding	Down	-1.43074901263553
ENSG00000197520.10|FAM177B|protein_coding	Down	-1.43063656114638
ENSG00000099769.6|IGFALS|protein_coding	Down	-1.43031564556688
ENSG00000142025.16|DMRTC2|protein_coding	Down	-1.43016509551646
ENSG00000125831.10|CST11|protein_coding	Down	-1.42345920993509
ENSG00000269242.1|AC010422.3|protein_coding	Down	-1.42334071896661
ENSG00000159184.8|HOXB13|protein_coding	Down	-1.42266127964297
ENSG00000261787.2|TCF24|protein_coding	Down	-1.41700215814534
ENSG00000273820.2|USP27X|protein_coding	Down	-1.41154530397127
ENSG00000120055.7|C10orf95|protein_coding	Down	-1.41031966058541
ENSG00000172459.4|OR5AR1|protein_coding	Down	-1.40729962857573
ENSG00000182333.15|LIPF|protein_coding	Down	-1.40652424461369
ENSG00000113924.12|HGD|protein_coding	Down	-1.40376212653126
ENSG00000114455.13|HHLA2|protein_coding	Down	-1.39575372465756
ENSG00000215018.10|COL28A1|protein_coding	Down	-1.39435917887946
ENSG00000170214.5|ADRA1B|protein_coding	Down	-1.38672768462968
ENSG00000221882.3|OR3A2|protein_coding	Down	-1.38460795769027
ENSG00000157060.16|SHCBP1L|protein_coding	Down	-1.37366647204087
ENSG00000114248.10|LRRC31|protein_coding	Down	-1.37343541583522
ENSG00000115758.13|ODC1|protein_coding	Down	-1.37341667108272
ENSG00000131910.5|NR0B2|protein_coding	Down	-1.37176907306653
ENSG00000165192.14|ASB11|protein_coding	Down	-1.37045124958116
ENSG00000171004.18|HS6ST2|protein_coding	Down	-1.3698665071328
ENSG00000156925.12|ZIC3|protein_coding	Down	-1.36420659111107
ENSG00000136883.14|KIF12|protein_coding	Down	-1.35580481833146
ENSG00000152578.13|GRIA4|protein_coding	Down	-1.35485533369006
ENSG00000168070.12|MAJIN|protein_coding	Down	-1.35289771684124
ENSG00000227234.2|SPANXB1|protein_coding	Down	-1.35036973732123
ENSG00000123561.15|SERPINA7|protein_coding	Down	-1.3476164741949
ENSG00000105398.4|SULT2A1|protein_coding	Down	-1.34672849989498
ENSG00000120875.9|DUSP4|protein_coding	Down	-1.34454961905751
ENSG00000129991.13|TNNI3|protein_coding	Down	-1.34151189252303
ENSG00000196228.3|SULT1C3|protein_coding	Down	-1.33910271519705
ENSG00000157399.16|ARSL|protein_coding	Down	-1.33724817036169
ENSG00000134216.19|CHIA|protein_coding	Down	-1.33363837824889
ENSG00000139155.9|SLCO1C1|protein_coding	Down	-1.33351265354909
ENSG00000162951.11|LRRTM1|protein_coding	Down	-1.33212520426155
ENSG00000081853.15|PCDHGA2|protein_coding	Down	-1.33148804394413
ENSG00000072080.11|SPP2|protein_coding	Down	-1.33063812019112
ENSG00000170153.11|RNF150|protein_coding	Down	-1.33029706226102
ENSG00000112494.10|UNC93A|protein_coding	Down	-1.32901452056841
ENSG00000285762.1|AC253536.7|protein_coding	Down	-1.3255383596682
