	MEorange	MEyellowgreen	MEplum1	MEgreen	MEpaleturquoise	MElightyellow	MEyellow	MEskyblue3	MEblue	MEbrown	MEred	MEdarkgreen	MEsalmon	MEcyan	MEgrey60	MEmidnightblue	MEorangered4	MEblack	MEdarkgrey	MEdarkorange	MEwhite	MEdarkolivegreen	MEdarkmagenta	MEviolet	MEturquoise	MEdarkturquoise	MEskyblue
C3N_00578	-0.0595583381067322	-0.0714581613355228	-0.0278690483017159	0.100444467585453	0.055116400650753	0.114076351690847	0.0747384218945522	-0.00329236155823614	0.139630511568536	0.121767360307952	0.0805594945577413	0.0282468497092352	-0.0119022265731295	0.0827284466592494	-0.0231398004636975	-0.0269814947425058	0.210220164595423	-0.114782730729879	-0.0750794386813283	-0.0101410600793917	0.040054683815533	0.105899441101232	0.0737389558390571	-0.0694387859163887	-0.143250489394544	-0.0161227561035149	0.079610945803867
C3N_01023	0.0706760904305214	0.146318110617221	-0.109464584311073	-0.0751768079279586	0.0717520135765017	-0.125832956323973	-0.0201476358245193	0.153060056502603	-0.102517988007704	0.107005921241463	-0.13801327764629	0.0342262947086633	-0.0493567961523078	0.0937903649860968	0.290022461486394	0.298291304932118	-0.0921316457116449	0.183821579360417	-0.0356367593978799	0.142609049795469	0.081528304071121	-0.19933819737798	-0.151571872203179	-0.133162245174002	0.0147852461522206	-0.143319960591545	-0.239576440605163
C3N_00545	0.119221292682578	0.255308409017901	0.41233220656923	0.170698997826104	0.0390968513694578	0.185177790294611	0.247166586393294	-0.190941204379303	0.0374892293697132	0.0939601700294326	0.17302633347059	0.49471540803692	0.464657457790112	-0.122617377276378	0.0624726027737343	-0.0173277695343695	0.0036624747232149	0.0340284371659788	0.131886118305512	0.249490703184128	0.0131663785031576	-0.0869319109529393	0.114785099810836	0.218279594921792	-0.154645346432067	-0.0214110711006689	-0.0880913829548209
C3N_02421	-0.0899504866232172	-0.106643015277089	-0.0581483524072407	0.189082386815593	0.116415663198121	0.188862056691952	0.0928320279470857	0.127909821773551	0.199929929730215	0.220020957760449	0.0409043208805646	-0.0635020677689303	0.000350727809488039	0.0248524462206232	0.0667538388902603	-0.0937193646183614	0.0318260775675348	-0.0409108856507308	0.0318768679352466	0.145545669129574	0.0317568043731083	0.0254227785800703	-0.00249614519222796	-0.00891303278448813	-0.221060943745061	-0.0782211058331739	-0.0881382157630473
C3N_00180	-0.326834773519441	-0.187950033902656	0.284128714211011	0.125182071300583	0.160249906994666	-0.278223880682415	-0.349966796850175	-0.231597420082288	-0.148388368659908	-0.0936101650730809	-0.0696408204725392	-0.0453247526017743	-0.215587943196199	0.386700277930189	0.237820363715693	0.391353559485875	0.0735140090532728	0.321060524541786	-0.130912441412916	0.00786698224446144	-0.132651296896272	-0.313685118472233	-0.211057684564608	-0.139583913717223	0.0256134552888627	-0.0186400624567226	-0.313657899263661
C3N_02425	-0.211818036901672	-0.0753551957971405	0.143380081887955	-0.345975237527154	-0.291220467397942	-0.0111676385998199	-0.332455194218848	-0.448354101310497	-0.365862346724561	-0.288360715791968	-0.174242684225858	-0.216454152907235	-0.257598734575398	-0.393301756346166	-0.278623543946957	-0.147720194636351	-0.0083737968965122	0.227745860740125	0.297252759905334	-0.118117070663648	0.177727141059591	0.400238569111869	0.51034500591224	0.486783152020056	0.346901710777575	0.5376534622854	0.172278234859528
C3N_00546	0.0842991463019815	0.0541912869150666	-0.135313521925415	-0.115900973220898	-0.0731411774712236	0.163658791259809	0.153375016121883	0.0733469749719174	0.0857993592291513	0.103929955479522	-0.12251678451955	-0.216815180054251	-0.138260499019665	-0.0262676072054078	-0.087079648043528	-0.139271181744976	0.139629010466244	-0.0796193436293772	-0.0577639241726292	0.0854212096252226	0.156893293966495	0.187413345277325	0.0445153295356411	0.00576275910435643	-0.085213101327568	-0.119699456537192	-0.0438369624196306
C3N_00580	-0.212272414140151	-0.0615317137851534	-0.216961628479684	-0.176937406640788	-0.117959547124219	0.1210953864129	-0.136856861678467	0.12879100977227	-0.0808504255578806	0.124862067428446	-0.0216699566476702	-0.0577665024708496	-0.293684741553988	-0.187322528615021	0.00689165350629431	-0.15941879373896	0.1090945379622	0.169530460223819	0.268163127573233	0.157075819901443	0.330032480393917	-0.142077045078621	0.0758205636463852	-0.0698578896069927	0.163400977100789	-0.198159614882045	0.0157921899852717
C3N_02424	0.307162269980376	0.306610841455305	0.170892772886226	-0.094083578695187	0.0877842041114544	0.131590550394085	0.266556900510254	-0.194717200596837	-0.166716636498519	-0.150692725628371	-0.190733965919391	-0.227334855544848	-0.113577140767049	-0.201013829490798	-0.203597211070864	-0.176353716817517	-0.0503376678850601	0.0505966593654859	0.136118959356745	0.147635825420577	-0.0253593419901788	0.199124369362672	0.0865949564708505	0.20853103638856	0.0678331737224067	-0.0905618604216435	-0.005885113819277
C3N_02572	-0.0891764109932076	-0.131095344359449	-0.0947039840561214	0.104189150128381	-0.00687877859776299	0.0562054524313655	0.0506778955468232	0.011088020151249	0.263183205997956	0.103901576519477	0.143002483954846	-0.0507786290128988	-0.067288305964674	0.171348954950259	0.00381110144757102	-0.0672335358610636	0.0659070286742208	-0.193754187688939	-0.131080413202815	-0.0829365108251476	-0.143551432249488	0.128481939794431	-0.0434417762925129	-0.109703202513697	-0.15138208315823	-0.0582836894111639	-0.180405821856692
