	MEblack	MEblue	MEbrown	MEcyan	MEdarkgreen	MEdarkgrey	MEdarkmagenta	MEdarkolivegreen	MEdarkorange	MEdarkred	MEdarkturquoise	MEgreen	MEgreenyellow	MEgrey60	MElightcyan	MElightgreen	MElightyellow	MEmagenta	MEmidnightblue	MEorange	MEorangered4	MEpaleturquoise	MEpink	MEplum1	MEpurple	MEred	MEroyalblue	MEsaddlebrown	MEsalmon	MEsienna3	MEskyblue	MEskyblue3	MEsteelblue	MEtan	MEturquoise	MEviolet	MEwhite	MEyellow	MEyellowgreen
C3N_00180	0.265140625210945	-0.148388368659908	-0.0944564999416238	0.363229743795738	-0.0453247526017743	-0.130912441412916	-0.211057684564608	-0.313685118472233	0.00786698224446144	0.393898388299859	-0.162131106272312	0.125182071300583	-0.0491563620748413	0.143374786358378	0.369240834773606	-0.206537000860904	-0.246056210788696	-0.241465827601367	0.380423652207923	-0.239786739358088	0.0735140090532728	0.160249906994666	-0.338889034618015	0.284128714211011	0.148563077620631	-0.0696408204725392	0.175407607932186	0.321935040739272	-0.215587943196199	-0.36198531678316	-0.313657899263661	-0.231597420082288	-0.0721612864150785	0.36454698853639	0.0256134552888627	-0.139583913717223	-0.132651296896272	-0.349966796850175	-0.187950033902656
C3N_02425	0.211689164290222	-0.365862346724561	-0.275228074317219	-0.390245134453552	-0.216454152907235	0.297252759905334	0.51034500591224	0.400238569111869	-0.118117070663648	0.238676491577737	0.424625794686242	-0.345975237527154	0.6189827287465	-0.307907111103551	-0.343098399121938	0.446736231337187	0.070161629866583	-0.112938417788327	-0.26375438028086	-0.0561642074730801	-0.0083737968965122	-0.291220467397942	-0.255443880771924	0.143380081887955	0.365543489685119	-0.174242684225858	0.361103488444721	-0.210117808877023	-0.257598734575398	0.183586509739527	0.172278234859528	-0.448354101310497	-0.287861607777143	-0.0542290776045947	0.346901710777575	0.486783152020056	0.177727141059591	-0.332455194218848	-0.0753551957971405
C3N_00546	-0.0854253077572377	0.0857993592291513	0.123771194852216	0.0547539432158177	-0.216815180054251	-0.0577639241726292	0.0445153295356411	0.187413345277325	0.0854212096252226	-0.0674195822086747	-0.12431514570923	-0.115900973220898	-0.0889973153154128	-0.0863341573428597	-0.12671474886313	-0.0673016061250068	0.14868074115426	0.170954172531904	-0.138465807283622	0.0122115969593362	0.139629010466244	-0.0731411774712236	0.104090400435832	-0.135313521925415	-0.13268580955714	-0.12251678451955	-0.174421026870415	-0.0731206102512422	-0.138260499019665	0.110623516454394	-0.0438369624196306	0.0733469749719174	0.0177978702603449	-0.131359831637364	-0.085213101327568	0.00576275910435643	0.156893293966495	0.153375016121883	0.0541912869150666
C3N_00580	0.210255853362201	-0.0808504255578806	0.108592267706946	-0.115655528368124	-0.0577665024708496	0.268163127573233	0.0758205636463852	-0.142077045078621	0.157075819901443	0.0753479342462421	-0.21938790922753	-0.176937406640788	-0.140708184488725	0.00952561108949352	-0.261696597064923	-0.210358787743209	0.12841752121247	0.108149841476927	-0.121440478649035	-0.127999539601526	0.1090945379622	-0.117959547124219	-0.234901702035685	-0.216961628479684	-0.175596734820954	-0.0216699566476702	-0.25800455738867	0.00493612382451817	-0.293684741553988	0.0705955844335696	0.0157921899852717	0.12879100977227	0.1707049133699	-0.172453569689933	0.163400977100789	-0.0698578896069927	0.330032480393917	-0.136856861678467	-0.0615317137851534
C3N_02424	0.0392918925018605	-0.166716636498519	-0.141521570708028	-0.217693692342203	-0.227334855544848	0.136118959356745	0.0865949564708505	0.199124369362672	0.147635825420577	0.0745947127139395	-0.199863630768721	-0.094083578695187	-0.0917908397909408	-0.212162802369428	-0.177369713744459	0.0499439156847283	0.24012557913059	0.0776554119171663	-0.241831187912855	0.379195293632317	-0.0503376678850601	0.0877842041114544	0.268889942451742	0.170892772886226	-0.0393882701802233	-0.190733965919391	-0.209937588159154	-0.168686912793162	-0.113577140767049	0.0610931382971945	-0.005885113819277	-0.194717200596837	-0.175979605662441	-0.120765957499236	0.0678331737224067	0.20853103638856	-0.0253593419901788	0.266556900510254	0.306610841455305
C3N_02572	-0.177441630694485	0.263183205997956	0.129436617292373	0.204662653737939	-0.0507786290128988	-0.131080413202815	-0.0434417762925129	0.128481939794431	-0.0829365108251476	-0.217842609705557	0.0450492371855877	0.104189150128381	-0.0426570396579935	0.0775930069616308	0.109836051737524	-0.0547530515352343	-0.0339288039511206	0.0933995821996601	0.00692569037006553	-0.129401186303351	0.0659070286742208	-0.00687877859776299	-0.0701177382113054	-0.0947039840561214	-0.0884185741081144	0.143002483954846	-0.0947343097218973	-0.0946250546805819	-0.067288305964674	0.0893052172692	-0.180405821856692	0.011088020151249	-0.00715347979017851	-0.112766394748856	-0.15138208315823	-0.109703202513697	-0.143551432249488	0.0506778955468232	-0.131095344359449
C3N_00167	-0.0136880349803568	0.154092056043086	0.160412677405604	-0.0264306297531031	0.235067693139377	0.0684992824299423	0.132729444689307	-0.0721301634521144	0.147799180249382	0.0394999758115027	0.0629679356689727	0.0366649351639991	-0.0456329144598683	0.158212046675599	-0.0459615980629318	-0.0478691924717863	0.0771258697559443	0.167936497061328	0.0243102586862179	-0.184424817269801	0.324518284152195	-0.165463721516891	-0.117871772028185	0.119852880387528	-0.137262888674645	0.183130281231974	-0.0318135115792146	-0.028529484020164	0.101050656552467	0.214759283391304	-0.143460582389171	-0.121213534605837	0.121761568296735	-0.138169579995629	-0.186878450082846	-0.0743717110979449	-0.181688316331429	0.0333942557340847	-0.163723931393566
C3N_02155	0.119280069428403	-0.0626719231186131	-0.0108557841363734	0.2862706614444	-0.169401905217571	-0.0246602651042881	-0.182979084132533	-0.207824355997913	-0.0541210994496909	0.126694587961871	-0.153192465602552	-0.192317222505336	-0.0735323222978286	0.0538988290150114	0.273820501998144	-0.223385354508948	-0.230519980914435	-0.124558390997685	0.166974986895587	-0.174295351044648	0.376295059157229	-0.0703924484192012	-0.292591007641877	-0.0334222929042337	0.0144270407555036	-0.110979393742503	0.0353822458805342	0.182483325133582	-0.25186611388926	-0.32710867346738	0.0991842936745017	0.247707443528212	0.16946302811854	0.179618606360935	0.184208079747064	-0.243845829981895	-0.159424094751409	-0.306502620235595	-0.166162068488509
C3N_00555	0.0423134282339866	-0.246877178165607	-0.318829044628954	-0.258361065436015	0.0557464933535919	0.0971465721498407	0.297301729609087	0.0380515846185008	-0.235452834618508	-0.149957649092713	0.290954376648201	-0.205077622766145	0.383408973173302	-0.293794479246561	-0.105552622034522	0.419531199540532	-0.0976108676764959	-0.251380456989239	-0.174988823976969	0.0744205349900154	-0.0616058318279625	-0.119363059082073	-0.0454932809057097	-0.0996621897785311	0.409779709970496	0.0191308783398372	0.398272048133143	-0.259951881183787	-0.0208483765325119	0.00768176940403717	0.449721467004542	-0.229267862460343	-0.243616394939354	-0.0168253930164757	0.319871448244522	0.266737497412457	0.202934214795035	-0.18360630904714	-0.015936388139637
C3N_01415	-0.0344193992446354	0.0814058422452805	0.0603849352577036	-0.078001629901718	0.0384765217525689	0.0737638787925017	0.0163303289677096	0.148867175483701	0.0479822203654607	-0.107837605931785	-0.0139258346421289	0.0421401633599985	-0.02452172138442	0.0153399053946797	-0.110711531700899	-0.00127555432664202	0.101394686532262	0.129117819444646	-0.058971309400601	-0.0539199283880191	0.122328892298086	0.000828437589884918	-0.0408000821375435	-0.147988866419799	-0.00115368220978341	0.0647607423494677	-0.0840107160075111	-0.109352519132384	-0.0415375692475468	0.117828108534858	0.0966537641851249	0.0400993700017436	0.00141771204915413	-0.108215591469994	-0.00857451231270328	-0.0416522195948926	-0.0896319958891001	0.117897161846534	-0.0177601293604627
