Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Neutrophil extracellular trap formation	1/189	0.33549489841237806	0.40938112730815807	0	0	2.5036727456940224	2.73438250533161	FPR1
Transcriptional misregulation in cancer	1/192	0.3398126714804756	0.40938112730815807	0	0	2.463974071303914	2.6595169741311544	WT1
Kaposi sarcoma-associated herpesvirus infection	1/193	0.341245830243863	0.40938112730815807	0	0	2.451016865079365	2.6352160561548885	CXCL3
Pathogenic Escherichia coli infection	1/197	0.3469481384581217	0.40938112730815807	0	0	2.4005102040816326	2.541132012855372	IL1B
Epstein-Barr virus infection	1/202	0.35400825796015234	0.40938112730815807	0	0	2.340203743188818	2.430149564271717	NFKB2
Viral carcinogenesis	1/203	0.35541130864561893	0.40938112730815807	0	0	2.3285007072135784	2.408786350456257	NFKB2
Proteoglycans in cancer	1/205	0.3582084863946383	0.40938112730815807	0	0	2.305438842203548	2.3668559585674327	CTSL
Human T-cell leukemia virus 1 infection	1/219	0.37745946238927464	0.42530643649495736	0	0	2.1558540847531673	2.1004316045160873	NFKB2
Coronavirus disease	1/232	0.3948296413087627	0.4386996014541808	0	0	2.033189033189033	1.8894443881212577	IL1B
Prion disease	1/273	0.44656852392627316	0.4893901632068747	0	0	1.72312675070028	1.3891200337252823	IL1B
Human papillomavirus infection	1/331	0.5124508438764594	0.5540009122988752	0	0	1.416089466089466	0.94672730212886	IRF1
Neuroactive ligand-receptor interaction	1/341	0.5230076692567207	0.5578748472071687	0	0	1.3737394957983193	0.8904018253659115	FPR1
PI3K-Akt signaling pathway	1/354	0.5363982777080424	0.5646297660084656	0	0	1.3222716848779172	0.8236143900098101	OSM
Amyotrophic lateral sclerosis	1/364	0.5464482105952175	0.5677384006184077	0	0	1.2851895579168306	0.7766602806144374	PFN1
Pathways of neurodegeneration	1/475	0.6446565355294196	0.6611861902865841	0	0	0.9786517982720514	0.42966494366971103	IL1B
Herpes simplex virus 1 infection	1/498	0.6622359653858924	0.6706186991249543	0	0	0.932260228034876	0.38421552467536846	IL1B
Pathways in cancer	1/531	0.6859834062219473	0.6859834062219473	0	0	0.8727313566936209	0.3289340548003101	NFKB2
